Item,Item Type,Subtype,Rarity,Act,Overworld,Area,Location,Story Requirements,Tags
The Deathstalker Mantle,Cloak,Clothing,Rare,1,Camp,-,-,Use the Dark Urge Origin,"Hidden, Obscured"
Gloves of Hail of Thorns,Gloves,Clothing,Uncommon,1,Multiple Locations,-,-,Trade Brem or Derryth Bonecloak,"Damage Bonus, Piercing, Conjuration"
Winter's Clutches,Gloves,Clothing,Uncommon,1,Multiple Locations,-,-,Trade Lady Esther or Avenge Glut's Circle,"Save Penalty, Cold"
Jorgoral's Greatsword,Melee,Martial,Rare,1,Multiple Locations,-,-,Trade or loot Corsair Greymon,"Multi-Hit, Greatsword"
Corellon's Grace,Melee,Simple,Uncommon,1,Multiple Locations,-,-,Trade or loot Auntie Ethel,"Damage Bonus, Unarmed Attacks, Save Bonus, Quarterstaff"
Shining Staver-of-Skulls,Melee,Simple,Uncommon,1,Multiple Locations,-,-,Trade or loot Corsair Greymon,"Radiant, Light Hammer"
Vision of the Absolute,Melee,Simple,Uncommon,1,Multiple Locations,-,-,Loot Edowin (Emerald Grove) and the Owlbear (Owlbear Nest),"Blinded, Spear"
Amulet of Elemental Torment,Neck,,Uncommon,1,Multiple Locations,-,-,"Trade Grat the Trader, Brem, or Roah Moonglow (Zhentarim)","Acid, Fire, Poison, Acid Coated, Burning, Poisoned"
Tarnished Charm,Neck,,Uncommon,1,Multiple Locations,-,-,Loot Auntie Ethel,Save Bonus
Bow of the Banshee,Ranged,Simple,Rare,1,Multiple Locations,-,-,Trade or loot Corsair Greymon,"Attack Roll Bonus, Damage Bonus, Frightened, Shortbow"
The Whispering Promise,Ring,,Uncommon,1,Multiple Locations,-,-,Trade Volo (missable) or Grat the Trader,"Generally Good, Attack Roll Bonus, Save Bonus, Healing"
Ring of Evasion,Ring,,Very Rare,1,Multiple Locations,-,-,Use the Gale Origin,Save Bonus
Everburn Blade,Melee,Martial,Uncommon,1,Nautiloid,-,-,Loot Commander Zhalk,"Damage Bonus, Fire, Greatsword"
Boots of Elemental Momentum,Boots,Medium,Uncommon,1,Rosymorn Monastery Trail,-,-,Trade Lady Esther,"Movement Speed, Acid, Cold, Fire, Lightning, Thunder, Athletics"
Gloves of Baneful Striking,Gloves,Clothing,Uncommon,1,Rosymorn Monastery Trail,-,-,Trade Lady Esther,"Attack Roll Bonus, Attack Roll Penalty"
Gloves of Cinder and Sizzle,Gloves,Clothing,Rare,1,Rosymorn Monastery Trail,-,-,Trade Lady Esther,"Unarmed Attacks, Fire, Evocation"
Hoppy,Melee,Martial,Uncommon,1,Rosymorn Monastery Trail,-,-,Trade Lady Esther,"Regeneration, Necrotic, Damage Rider Source, War Pick"
Cacophony,Melee,Simple,Rare,1,Rosymorn Monastery Trail,-,-,Trade Lady Esther,"Thunder, Prone, Evocation, Quarterstaff"
Periapt of Wound Closure,Neck,,Rare,1,Rosymorn Monastery Trail,-,-,Trade Lady Esther,"Generally Good, Save Bonus, Healing"
The Graceful Cloth,Torso,Clothing,Rare,1,Rosymorn Monastery Trail,-,-,Trade Lady Esther,"DEX Increase, DEX Check Bonus, Save Bonus, Jump"
Hoarfrost Boots,Boots,Clothing,Uncommon,1,Rosymorn Monastery Trail,Creche Y'llek,-,Find the item (X: 1357 Y: -685),Condition Immunity
Varsh Ko'kuu's Boots,Boots,Clothing,Uncommon,1,Rosymorn Monastery Trail,Creche Y'llek,-,Convince or loot Varsh Ko'kuu,"Condition Immunity, Acid, Acid Coated"
Vital Conduit Boots,Boots,Medium,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Trade A'jak'nir Jeera,"Temporary Hit Points, Athletics, Concentration"
Gloves of Belligerent Skies,Gloves,Clothing,Uncommon,1,Rosymorn Monastery Trail,Creche Y'llek,-,Find the item (X: 1357 Y: -685),"Lightning, Radiant, Thunder, Reverbration"
Daredevil Gloves,Gloves,Clothing,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Trade A'jak'nir Jeera,Spell Attacks
Gloves of Dexterity,Gloves,Clothing,Very Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Trade A'jak'nir Jeera,"Generally Good, DEX Increase, DEX Check Bonus, Attack Roll Bonus, Acrobatics, Sleight of Hand, Stealth"
Circlet of Psionic Revenge,Head,Clothing,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Find the item (X: 1357 Y: -685),"Save Bonus, Retaliation"
Diadem of Arcane Synergy,Head,Clothing,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Loot Ardent Jhe'razath,Damage Bonus
The Skinburster,Melee,Martial,Uncommon,1,Rosymorn Monastery Trail,Creche Y'llek,-,Disable Githyanki Barrier Disruptor,"Force Conduit, Halberd"
Defender Flail,Melee,Martial,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Trade A'jak'nir Jeera,"Armor Class Bonus, Damage Reduction, Flail"
Larethian's Wrath,Melee,Martial,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Trade A'jak'nir Jeera,"Multi-Hit, Longsword, Rapier"
Soulbreaker Greatsword,Melee,Martial,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Loot Kith'rak Therezzyn,"Generally Good, Initiative, Psychic, Githyanki, Damage Rider Source, Greatsword"
Unseen Menace,Melee,Martial,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Trade A'jak'nir Jeera,"Generally Good, Attack Roll Bonus, Pike"
Knife of the Undermountain King,Melee,Simple,Very Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Trade A'jak'nir Jeera,"Generally Good, Attack Roll Bonus, Critical Hits, Obscured, Dagger"
The Blood of Lathander,Melee,Simple,Legendary,1,Rosymorn Monastery Trail,Creche Y'llek,-,Find the Blood of Lathander,"Healing, Regeneration, Blinded, Evocation, Mace"
Aberration Hunters' Amulet,Neck,,Uncommon,1,Rosymorn Monastery Trail,Creche Y'llek,-,Loot Ghustil Stornugoss,"Attack Roll Bonus, Save Bonus, Attack Roll Penalty, Githyanki"
Necklace of Elemental Augmentation,Neck,,Uncommon,1,Rosymorn Monastery Trail,Creche Y'llek,-,Find the item (X: 1379 Y: -662),"Spell Damage, Acid, Cold, Fire, Lightning, Thunder"
Amulet of Branding,Neck,,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Trade A'jak'nir Jeera,"Damage Vulnerability, Bludgeoning, Piercing, Slashing, Transmutation"
Awakened,Other,,,1,Rosymorn Monastery Trail,Creche Y'llek,-,Make the Zaith'isk explode,"Hasted, Tadpole"
Crossbow of Arcane Force,Ranged,Simple,Uncommon,1,Rosymorn Monastery Trail,Creche Y'llek,-,Loot Raider G'r'ath,"Force, Hand Crossbow"
Ring of Elemental Infusion,Ring,,Uncommon,1,Rosymorn Monastery Trail,Creche Y'llek,-,Loot Gish Umr'a'ac,"Melee Weapons, Ranged Weapons, Thrown Weapons, Spell Damage, Acid, Cold, Fire, Lightning, Thunder"
Strange Conduit Ring,Ring,,Uncommon,1,Rosymorn Monastery Trail,Creche Y'llek,-,"Find the item (X: 1360, Y: -657)","Improvised Weapons, Melee Weapons, Ranged Weapons, Thrown Weapons, Psychic, Concentration"
Ring of Arcane Synergy,Ring,,Rare,1,Rosymorn Monastery Trail,Creche Y'llek,-,Loot Gish Far'Aag,"Damage Bonus, Improvised Weapons, Melee Weapons, Ranged Weapons, Thrown Weapons"
Githyanki Greatsword (Psionic),Melee,Martial,Uncommon,1,Rosymorn Monastery Trail,Mountain Pass,-,Loot Sarth Baretha,"Psychic, Githyanki, Greatsword"
Holy Lance Helm,Head,Medium,Uncommon,1,Rosymorn Monastery Trail,Rosymorn Monastery,-,Find the item (X: 120 Y: 35),"Save Bonus, Radiant, Retaliation"
Phalar Aluve,Melee,Martial,Rare,1,The Underdark,-,-,Find the item (X: 116 Y: -192),"Generally Good, Attack Roll Bonus, Save Bonus, Save Penalty, Thunder, Performance, Damage Rider Source, Longsword, Rapier"
Mourning Frost,Melee,Simple,Very Rare,1,The Underdark,-,-,"Find three components and combine them
Icy Helve: Loot Dhourn
Icy Metal: Defeat the Duergar Intruders or Find the item (X: 50 Y: 75)
Icy Crystal: Loot Filro the Forgotten","Damage Vulnerability, Cold, Speed Reduction, Evocation, Quarterstaff"
Amulet of the Unworthy,Neck,,Uncommon,1,The Underdark,-,-,Loot the Minotaur,"Damage Reduction, Damage Vulnerability"
The Spectator Eyes,Neck,,Very Rare,1,The Underdark,-,-,Loot the Spectator,"Necrotic, Frightened, Necromancy"
Bloodguzzler Garb,Torso,Clothing,Uncommon,1,The Underdark,-,-,Loot the Bulette,"Melee Weapons, Wrath, Retaliation"
Slippery Chain Shirt,Torso,Medium,Uncommon,1,The Underdark,-,-,"Find the item (X:-400, Y:329)","Healing, Disengage"
Mystra's Grace,Boots,Clothing,Uncommon,1,The Underdark,Arcane Tower,-,Find the item (X: -36 Y: 265),"Damage Reduction, Jump, Transmutation"
Light of Creation,Melee,Martial,Uncommon,1,The Underdark,Arcane Tower,-,Loot Bernard,"Lightning, Stunned, Masochism, Halberd"
Club of Hill Giant Strength,Melee,Simple,Uncommon,1,The Underdark,Arcane Tower,-,Break the Stool of Hill Giant Strength,"STR Increase, STR Check Bonus, Athletics, Club"
